scenario_id,category,prompt,expected_domains,predicted_domain,domain_match,expected_action,selected_action,action_match,consensus_score,rar_triggered,rar_accepted,utility,performance_score,cost_efficiency_score,risk_reduction_score,xi
pm001,cross_domain_release_governance,"The latest release failed, users are seeing high latency, and security flagged a policy violation. What should we do?","[""DevOps"", ""SRE"", ""DevSecOps""]",DevSecOps,True,Patch or block release,Patch or block release,True,0.8600000000000001,False,True,1.0494,0.4325,0.7,0.888,0.84
pm002,cost_governance,Our cloud costs increased significantly after autoscaling changes. Can you analyze and recommend what we should do?,"[""FinOps""]",FinOps,True,Scale adjustment,Scale adjustment,True,0.92,False,True,0.8156,0.474,0.7,0.32,0.8116
pm003,security_compliance_governance,Security scanning detected policy violations and critical vulnerabilities in the current release. Should we proceed with deployment?,"[""DevSecOps""]",DevSecOps,True,Patch or block release,Patch or block release,True,0.89,False,True,1.0494,0.4325,0.7,0.888,0.808
pm004,reliability_operations,Users are reporting very slow response times and repeated timeouts across services. Please evaluate the situation.,"[""SRE""]",SRE,True,Mitigate and monitor,Mitigate and monitor,True,0.62,True,False,0.614,0.475,0.68,0.4,0.8086
pm005,release_governance,The latest deployment failed and services are restarting repeatedly. The pipeline also reported configuration drift. What action should we take?,"[""DevOps""]",DevOps,True,Rollback to stable deployment,Block release and fix pipeline,False,0.92,False,True,0.8845,0.6325,0.75,0.655,0.8085
pm006,release_governance,"URGENT: Production is unstable after the latest deployment, and multiple services are failing. What is the recommended governance action?","[""DevOps"", ""SRE""]",DevOps,True,Rollback to stable deployment,Block release and fix pipeline,False,0.6,True,False,0.602,0.295,0.75,0.43,0.8112
pm007,cross_domain_release_governance,"The release pipeline passed successfully, but security reported policy violations and IAM drift. Should we continue rollout?","[""DevOps"", ""DevSecOps""]",DevOps,True,Patch or block release,Patch or block release,True,0.8,False,True,1.086,0.47,0.7,0.96,0.816
pm008,cross_domain_cost_reliability,"Performance improved after scaling changes, but infrastructure costs nearly doubled. Should we keep the current setup?","[""SRE"", ""FinOps""]",SRE,True,Scale adjustment,Mitigate and monitor,False,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm009,pm_prioritization_escalation,The release keeps failing validation checks and our sprint commitment is now at risk. What should I prioritize and escalate?,"[""DevOps""]",DevOps,True,Rollback to stable deployment,Block release and fix pipeline,False,0.62,True,False,0.6695,0.4075,0.75,0.505,0.8106
pm010,reliability_operations,Error rates increased after a recent configuration change and customers are affected. What is the recommended next step?,"[""SRE"", ""DevOps""]",SRE,True,Mitigate and monitor,Mitigate and monitor,True,0.62,True,False,0.614,0.475,0.68,0.4,0.8086
pm011,cost_governance,"Cloud spending is rising week over week, but I do not see a corresponding product benefit. What should we do?","[""FinOps""]",FinOps,True,Scale adjustment,Review scaling policy,True,0.62,True,False,0.7306,0.3325,0.7575,0.401,0.8091
pm012,cross_domain_release_governance,"Security recommends blocking the release due to policy violations, but engineering says the build is stable. What is the governance recommendation?","[""DevSecOps"", ""DevOps""]",DevOps,True,Patch or block release,Patch or block release,True,0.8,False,True,1.0494,0.4325,0.7,0.888,0.8065
pm013,reliability_operations,"Latency and error rates are increasing, and I am concerned we will breach our service commitments. What should we do?","[""SRE""]",SRE,True,Mitigate and monitor,Mitigate and monitor,True,0.92,False,True,0.764,0.5625,0.68,0.45,0.8095
pm014,cost_governance,"After increasing autoscaling capacity, our cloud bill spiked unexpectedly. Should we revise scaling settings?","[""FinOps""]",FinOps,True,Scale adjustment,Scale adjustment,True,0.89,False,True,0.9291,0.664,0.7,0.445,0.808
pm015,security_compliance_governance,A critical vulnerability was found in the release candidate just before deployment. Should we move forward or stop?,"[""DevSecOps""]",DevOps,False,Patch or block release,Patch or block release,True,0.5900000000000001,True,False,0.9396,0.32,0.7,0.672,0.84
pm016,release_governance,Services are showing repeated restart loops after the latest release. What is the recommended action?,"[""DevOps""]",DevOps,True,Rollback to stable deployment,Block release and fix pipeline,False,0.62,True,False,0.71,0.475,0.75,0.55,0.8106
pm017,cross_domain_general_investigation,"Something feels off across the platform after the latest release. Performance seems worse, costs look higher, and teams are concerned. Please assess the situation.","[""DevOps"", ""SRE"", ""FinOps"", ""DevSecOps""]",DevOps,True,Mitigate and monitor,Mitigate and monitor,True,0.56,True,False,0.614,0.475,0.68,0.4,0.84
pm018,security_compliance_governance,"We are preparing to go live, but compliance checks identified policy issues. What is the governance recommendation?","[""DevSecOps""]",DevSecOps,True,Patch or block release,Patch or block release,True,0.62,True,False,0.9518,0.3325,0.7,0.696,0.8086
pm019,reliability_operations,"We are entering a launch window, but latency is rising and users are experiencing slow responses. What should we prioritize?","[""SRE""]",SRE,True,Mitigate and monitor,Mitigate and monitor,True,0.62,True,False,0.614,0.475,0.68,0.4,0.8086
pm020,release_governance,The build pipeline has been unstable for the last two release attempts. Should we hold the release?,"[""DevOps""]",DevOps,True,Rollback to stable deployment,Block release and fix pipeline,False,0.92,False,True,0.844,0.565,0.75,0.61,0.81
pm021,cross_domain_release_governance,"The release candidate passed deployment checks, but security found policy violations and performance testing shows rising latency. Should we proceed?","[""DevSecOps"", ""SRE"", ""DevOps""]",DevSecOps,True,Patch or block release,Patch or block release,True,0.8600000000000001,False,True,1.0494,0.4325,0.7,0.888,0.84
pm022,pm_prioritization_escalation,"We have deployment instability, rising latency, and increasing cloud costs. Which issue should the team prioritize first?","[""DevOps"", ""SRE"", ""FinOps""]",SRE,True,Mitigate and monitor,Mitigate and monitor,True,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm023,pm_prioritization_escalation,"We are seeing delivery delays, production performance concerns, and security objections before release. What should I escalate to leadership?","[""DevOps"", ""SRE"", ""DevSecOps""]",DevOps,True,Patch or block release,Patch or block release,True,0.56,True,False,0.6996,0.32,0.7,0.672,0.84
pm024,release_governance,Can this release safely go out today given the recent failed deployment checks and operational concerns?,"[""DevOps"", ""SRE""]",DevOps,True,Rollback to stable deployment,Block release and fix pipeline,False,0.62,True,False,0.6695,0.4075,0.75,0.505,0.8106
pm025,cross_domain_cost_reliability,"Autoscaling has improved performance, but our monthly cloud costs are much higher. Is this still worth it?","[""FinOps"", ""SRE""]",FinOps,True,Scale adjustment,Scale adjustment,True,0.89,False,True,0.9291,0.664,0.7,0.445,0.8085
pm026,security_compliance_governance,A runtime security issue was detected after deployment and policy violations are being reported. What should we do now?,"[""DevSecOps""]",DevSecOps,True,Patch or block release,Patch or block release,True,0.92,False,True,1.0494,0.4325,0.7,0.888,0.8105
pm027,release_governance,"The deployment is progressing, but restart loops and instability have been observed in some services. Are we safe to continue rollout?","[""DevOps""]",DevOps,True,Rollback to stable deployment,Block release and fix pipeline,False,0.6,True,False,0.6425,0.3625,0.75,0.475,0.8112
pm028,cost_governance,"We are under budget pressure, and recent scaling changes increased infrastructure costs. What action should we take?","[""FinOps""]",FinOps,True,Scale adjustment,Review scaling policy,True,0.62,True,False,0.7306,0.3325,0.7575,0.401,0.8091
pm029,cross_domain_release_governance,"Customers are being affected after the latest release, and security concerns are also open. Should we continue or reverse course?","[""SRE"", ""DevSecOps"", ""DevOps""]",DevOps,True,Patch or block release,Patch or block release,True,0.5900000000000001,True,False,0.9396,0.32,0.7,0.672,0.84
pm030,pm_prioritization_escalation,"Given current deployment, reliability, cost, and security issues, what should the team do in the next 24 hours?","[""DevOps"", ""SRE"", ""FinOps"", ""DevSecOps""]",FinOps,True,Mitigate and monitor,Review scaling policy,False,0.5900000000000001,True,False,0.7306,0.3325,0.7575,0.401,0.84
pm031,security_compliance_governance,"Compliance controls have flagged issues with the release, and security recommends holding deployment. What is the decision?","[""DevSecOps""]",DevSecOps,True,Patch or block release,Patch or block release,True,0.89,False,True,1.0494,0.4325,0.7,0.888,0.808
pm032,cost_governance,"As traffic has grown, our infrastructure costs have risen sharply. Should we revise our scaling strategy?","[""FinOps"", ""SRE""]",FinOps,True,Scale adjustment,Review scaling policy,True,0.62,True,False,0.7306,0.3325,0.7575,0.401,0.8091
pm033,reliability_operations,"During peak customer hours, we are seeing repeated timeouts and service degradation. What should we do?","[""SRE""]",SRE,True,Mitigate and monitor,Mitigate and monitor,True,0.62,True,False,0.614,0.475,0.68,0.4,0.8086
pm034,cross_domain_cost_reliability,"The build is stable, but latency is trending upward and costs are increasing. What governance action do you recommend?","[""SRE"", ""FinOps""]",DevOps,False,Scale adjustment,Mitigate and monitor,False,0.56,True,False,0.614,0.475,0.68,0.4,0.84
pm035,security_compliance_governance,Engineering is requesting a temporary security exception to meet the release deadline. Should we allow it?,"[""DevSecOps"", ""DevOps""]",DevOps,True,Patch or block release,Patch or block release,True,0.5900000000000001,True,False,0.9396,0.32,0.7,0.672,0.84
pm036,pm_prioritization_escalation,"We have moderate operational concerns, but no major customer complaints yet. Can this issue be deferred safely?","[""SRE"", ""DevOps"", ""FinOps"", ""DevSecOps""]",DevOps,True,No action (observe),Block release and fix pipeline,False,0.6,True,False,0.575,0.25,0.75,0.4,0.8112
pm037,cross_domain_release_governance,"DevOps says the release is ready, SRE is worried about latency, and security has policy concerns. What is the final recommendation?","[""DevOps"", ""SRE"", ""DevSecOps""]",DevSecOps,True,Patch or block release,Patch or block release,True,0.8600000000000001,False,True,1.0494,0.4325,0.7,0.888,0.84
pm038,pm_prioritization_escalation,Our sprint delivery slipped because of repeated deployment and operational issues. What should I focus on first?,"[""DevOps"", ""SRE""]",DevOps,True,Rollback to stable deployment,Block release and fix pipeline,False,0.6,True,False,0.602,0.295,0.75,0.43,0.8112
pm039,cost_governance,"After launching the new feature, our operating costs increased sharply. Is this sustainable?","[""FinOps""]",FinOps,True,Scale adjustment,Review scaling policy,True,0.62,True,False,0.7306,0.3325,0.7575,0.401,0.8091
pm040,reliability_operations,"We are seeing elevated latency and some errors, but the service is still functioning. Is this an incident or something we can monitor?","[""SRE""]",SRE,True,Mitigate and monitor,Mitigate and monitor,True,0.92,False,True,0.764,0.5625,0.68,0.45,0.8095
pm041,release_governance,"We detected deployment drift before an important customer demo. Should we proceed, rollback, or hold?","[""DevOps""]",DevOps,True,Rollback to stable deployment,Block release and fix pipeline,False,0.92,False,True,0.817,0.52,0.75,0.58,0.808
pm042,cross_domain_general_investigation,"Security concerns are rising, performance is degrading, and cloud costs are climbing. Please assess the overall situation and recommend the best next step.","[""DevSecOps"", ""SRE"", ""FinOps""]",SRE,True,Patch or block release,Patch or block release,True,0.56,True,False,0.6996,0.32,0.7,0.672,0.84
pm043,release_governance,"The team wants to continue rollout, but there are warning signs in reliability and deployment stability. Should we pause for review?","[""DevOps"", ""SRE""]",DevOps,True,Rollback to stable deployment,Block release and fix pipeline,False,0.6,True,False,0.602,0.295,0.75,0.43,0.8112
pm044,cost_governance,"Our infrastructure costs are trending upward, but performance seems stable. Are these costs acceptable or should we optimize?","[""FinOps""]",SRE,False,Scale adjustment,Mitigate and monitor,False,0.5900000000000001,True,False,0.614,0.475,0.68,0.4,0.84
pm045,security_compliance_governance,We have identified compliance issues just before our audit window. What governance action should we take?,"[""DevSecOps""]",DevSecOps,True,Patch or block release,Patch or block release,True,0.62,True,False,0.9518,0.3325,0.7,0.696,0.8086
pm046,pm_prioritization_escalation,"The release is facing deployment, latency, and security concerns. What is the likely business impact and what should I prioritize?","[""DevOps"", ""SRE"", ""DevSecOps""]",DevOps,True,Patch or block release,Patch or block release,True,0.56,True,False,0.6996,0.32,0.7,0.672,0.84
pm047,reliability_operations,Performance concerns are present but not yet severe. Can we safely monitor instead of intervening immediately?,"[""SRE""]",SRE,True,No action (observe),Mitigate and monitor,False,0.62,True,False,0.614,0.475,0.68,0.4,0.8086
pm048,cross_domain_release_governance,"We have a customer-facing release scheduled, but security flagged policy issues and engineering is under deadline pressure. What is the right governance decision?","[""DevSecOps"", ""DevOps""]",DevSecOps,True,Patch or block release,Patch or block release,True,0.89,False,True,1.0494,0.4325,0.7,0.888,0.808
pm049,cross_domain_cost_reliability,"We improved reliability, but it now costs much more to run the platform. Are we overspending to maintain stability?","[""SRE"", ""FinOps""]",FinOps,True,Scale adjustment,Review scaling policy,True,0.62,True,False,0.7306,0.3325,0.7575,0.401,0.8091
pm050,pm_prioritization_escalation,"Before today’s standup, I need a governance view of current deployment, reliability, cost, and security issues. What should the team focus on?","[""DevOps"", ""SRE"", ""FinOps"", ""DevSecOps""]",FinOps,True,Mitigate and monitor,Review scaling policy,False,0.5900000000000001,True,False,0.7306,0.3325,0.7575,0.401,0.84
